,brands,prices,sale,tier
0,Kate Spade New York,45.0,45.0,0 1 0
1,ALLSAINTS,35.0,35.0,0 1 0
2,Michael Aram,22.0,,0 1 0
3,Agraria,30.0,,0 1 0
4,Rip Curl,44.95,44.95,0 1 0
5,Elemis,40.0,40.0,0 1 0
6,ROSSIGNOL,35.0,35.0,0 1 0
7,Patchology,30.0,30.0,0 1 0
8,Stance,20.0,13.98,0 1 0
9,Minnetonka,39.95,39.95,0 1 0
10,Nordstrom,39.0,39.0,1 0 0
11,Clarins,30.0,,0 1 0
12,Diesel,38.0,38.0,0 1 0
13,Kim Seybert,45.0,,0 1 0
14,Estee Lauder,26.0,26.0,0 1 0
15,Unionbay,30.0,30.0,0 1 0
16,BP.,19.0,11.4,0 1 0
17,Fashion Forms,36.0,,0 1 0
18,Calvin Klein,22.0,10.19,0 1 0
19,Elizabeth and James,28.0,28.0,0 1 0
20,Knotty,44.0,44.0,0 1 0
21,Wacoal,19.0,19.0,0 1 0
22,Juliska,38.0,,0 1 0
23,BP.,29.0,17.4,0 1 0
24,Topman,30.0,18.0,1 0 0
25,Ursa Major,18.0,18.0,0 1 0
26,Alex and Ani,32.0,,0 1 0
27,Bobbi Brown,27.0,27.0,0 1 0
28,Dior,28.0,28.0,0 1 0
29,Kim Seybert,30.0,15.0,0 1 0
30,All in Favor,45.0,45.0,0 1 0
31,Topshop,35.0,35.0,1 0 0
32,Topman,45.0,45.0,1 0 0
33,Sparrow & Wren,8.0,,0 1 0
34,Nordstrom Men's Shop,29.5,29.5,1 0 0
35,Anastasia Beverly Hills,23.0,,0 1 0
36,Rip Curl,39.95,39.95,0 1 0
37,Burberry,29.5,29.5,0 1 0
38,Bombas,12.0,12.0,0 1 0
39,Dansk,10.0,6.0,0 1 0
40,Juliska,28.0,28.0,0 1 0
41,Juliska,24.0,,0 1 0
42,New Balance,45.0,25.69,0 1 0
43,Stance,14.0,12.0,0 1 0
44,STS Blue,39.0,39.0,0 1 0
45,Shiseido,29.0,,0 1 0
46,L. Erickson,18.0,18.0,0 1 0
47,Chantecaille,36.0,,0 1 0
48,Wedgwood,35.0,,0 1 0
49,VIETRI,23.0,,0 1 0
50,Echo Design,39.0,,0 1 0
51,Villeroy & Boch,39.0,23.4,0 1 0
52,Diesel,45.0,45.0,0 1 0
53,All in Favor,29.0,17.4,0 1 0
54,Saint Laurent,38.0,38.0,0 1 0
55,BASTIDE,38.0,,0 1 0
56,Dolce & Gabbana,45.0,45.0,0 1 0
57,Agraria,28.0,,0 1 0
58,LORAC,18.0,18.0,0 1 0
59,L'Amour Shoes,38.0,,0 1 0
60,By Terry,34.0,34.0,0 1 0
61,Juliska,39.0,39.0,0 1 0
62,Royce New York,35.0,26.25,0 1 0
63,Topshop,22.0,10.99,1 0 0
64,Supreme,25.0,25.0,0 1 0
65,O'Neill,45.0,20.25,0 1 0
66,Juliska,17.0,17.0,0 1 0
67,Kevyn Aucoin,28.0,,0 1 0
68,Berard,19.0,,0 1 0
69,Captain Blankenship,24.0,,0 1 0
70,Madewell,32.0,32.0,0 1 0
71,TOP CHEF,35.0,35.0,0 1 0
72,adidas,16.0,7.98,0 1 0
73,Ralph Lauren Childrenswear,29.5,,0 1 0
74,Kate Spade New York,21.0,,0 1 0
75,Sole Society,39.95,39.95,0 1 0
76,Coola,36.0,36.0,0 1 0
77,Casetify,36.0,36.0,0 1 0
78,Homesick,30.0,,0 1 0
79,Kate Spade New York,16.0,,0 1 0
80,Kate Spade New York,15.0,,0 1 0
81,Nakamol Design,42.0,42.0,0 1 0
82,Madewell,24.5,24.5,0 1 0
83,STATIC NAILS,14.0,14.0,0 1 0
84,Kate Spade New York,19.0,,0 1 0
85,THE WHITE COMPANY,32.0,32.0,0 1 0
86,Paul Smith,25.0,25.0,0 1 0
87,New Era Cap,34.0,,0 1 0
88,1822 Denim,39.0,23.4,0 1 0
89,2xist,26.0,13.0,0 1 0
90,Topman,40.0,40.0,1 0 0
91,Hue,34.0,23.8,1 0 0
92,Bonobos,15.0,9.75,0 1 0
93,Sunspel,39.0,24.0,0 1 0
94,Kiehl's Since,26.0,,0 1 0
95,Topman,35.0,35.0,1 0 0
96,Charcoal Companion,9.99,,0 1 0
97,ALLSTATE,35.99,35.99,0 1 0
98,Clinique,18.5,18.5,0 1 0
99,adidas Originals,25.0,19.99,0 1 0
100,Juice Beauty,44.0,,0 1 0
101,Kate Spade New York,20.0,,0 1 0
102,PANDORA,35.0,35.0,0 1 0
103,Reiss,25.0,25.0,0 1 0
104,Supergoop,38.0,38.0,0 1 0
105,Levis,35.0,35.0,0 1 0
106,adidas,32.0,19.2,0 1 0
107,Philippe Deshoulieres,35.0,,0 1 0
108,Sugarfina,9.5,,0 1 0
109,Diesel,44.0,44.0,0 1 0
110,Smashbox,27.0,27.0,0 1 0
111,Cole Haan,12.5,12.5,0 1 0
112,MAC Cosmetics,36.0,36.0,0 1 0
113,Dita Von Teese,45.0,20.25,0 1 0
114,Anastasia Beverly Hills,25.0,25.0,0 1 0
115,Banks Journal,30.0,22.5,0 1 0
116,S'well,10.0,,0 1 0
117,The North Face,25.0,19.99,0 1 0
118,Kosta Boda,14.95,,0 1 0
119,Burberry,29.0,,0 1 0
120,Kate Spade New York,17.0,,0 1 0
121,Kerber's Farm,30.0,,0 1 0
122,adidas,33.0,33.0,0 1 0
123,Yummie,39.0,32.66,0 1 0
124,Elemis,34.0,34.0,0 1 0
125,Volcom,39.5,39.5,0 1 0
126,Maison Labiche,44.0,,0 1 0
127,Casetify,45.0,45.0,0 1 0
128,Topman,35.0,21.0,1 0 0
129,Argento Vivo,38.0,38.0,0 1 0
130,The North Face,38.0,27.0,0 1 0
131,ALLSAINTS,40.0,40.0,0 1 0
132,BP.,25.0,14.98,0 1 0
133,Chilewich,22.5,18.0,0 1 0
134,Iscream,30.0,,0 1 0
135,Sparrow & Wren,8.0,,0 1 0
136,RuffleButts,42.0,,0 1 0
137,New Balance,35.0,20.98,0 1 0
138,Panacea,28.0,28.0,0 1 0
139,Charbonnel et Walker,28.0,29.0,0 1 0
140,Juliska,44.0,,0 1 0
141,Nordstrom,24.0,24.0,1 0 0
142,Waterford,20.0,,0 1 0
143,French Connection,44.0,26.4,0 1 0
144,ystudio,18.0,,0 1 0
145,Bluebella,24.0,18.0,0 1 0
146,Omc,42.0,40.0,0 1 0
147,The Book Club,30.0,,0 1 0
148,Bloomingdale's,16.0,,0 1 0
149,Jimmy Choo,28.0,28.0,0 1 0
150,Lucky Brand,44.5,44.5,0 1 0
151,Kid Dangerous,38.0,28.5,0 1 0
152,Olivia Burton,45.0,,0 1 0
153,Rituel De Fille,24.0,,0 1 0
154,Chilewich,20.0,16.0,0 1 0
155,Nordstrom Signature,16.5,16.5,1 0 0
156,Vince Camuto,42.0,42.0,0 1 0
157,Karine Sultan,34.0,34.0,0 1 0
158,Oxo,24.99,,0 1 0
159,Clarins,44.0,,0 1 0
160,Juice Beauty,22.0,,0 1 0
161,Hydro Flask,32.95,32.95,0 1 0
162,Angel Dear,23.0,,0 1 0
163,Ettika,40.0,40.0,0 1 0
164,Michael Wainwright,42.0,,0 1 0
165,Natori,32.0,19.2,0 1 0
166,C.O. BIGELOW,28.0,,0 1 0
167,Topman,6.0,6.0,1 0 0
168,CLAUS PORTO,27.0,27.0,0 1 0
169,Schott Zwiesel,14.0,,0 1 0
170,Topman,30.0,16.49,1 0 0
171,M Missoni,38.0,37.0,0 1 0
172,Anthropologie,22.0,22.0,0 1 0
173,Wacoal,24.0,,0 1 0
174,Levi's,32.0,32.0,0 1 0
175,Nordstrom Men's Shop,12.5,12.5,1 0 0
176,Hanky Panky,29.0,29.0,0 1 0
177,Hanky Panky,45.0,45.0,0 1 0
178,Aesop,41.0,41.0,0 1 0
179,Jordan,10.0,10.0,0 1 0
180,NARS,22.0,,0 1 0
181,Prive Revaux,29.95,29.95,0 1 0
182,Totally Bamboo,29.99,,0 1 0
183,Oroblu,22.0,22.0,0 1 0
184,Noodle & Boo,14.0,,0 1 0
185,Laura Mercier,28.0,,0 1 0
186,Topman,30.0,30.0,1 0 0
187,Kiehl's Since,42.0,42.0,0 1 0
188,LORAC,18.0,18.0,0 1 0
189,Bean There Coffee Company,12.0,,0 1 0
190,BeautyBio,35.0,35.0,0 1 0
191,Laura Mercier,38.0,,0 1 0
192,Diesel,43.0,43.0,0 1 0
193,Dansk,12.0,,0 1 0
194,Ralph Lauren,32.0,11.2,0 1 0
195,Topman,35.0,21.0,1 0 0
196,Topman,30.0,9.9,1 0 0
197,Kate Spade New York,14.0,,0 1 0
198,Voluspa,24.0,,0 1 0
199,Vans,65.0,,0 1 0
200,Lafco,58.0,43.5,0 1 0
201,Dolce Vita,58.0,46.4,0 1 0
202,Dsquared2,60.0,60.0,0 1 0
203,Elan,68.0,40.8,0 1 0
204,Spiritual Gangster,58.0,34.8,0 1 0
205,Nashelle,63.0,63.0,0 1 0
206,Villeroy & Boch,67.0,33.5,0 1 0
207,Stella McCartney,59.0,59.0,0 1 0
208,Keds,65.0,65.0,0 1 0
209,vineyard vines,48.0,48.0,0 1 0
210,Topshop,55.0,55.0,1 0 0
211,Treasure & Bond,49.0,49.0,0 1 0
212,VERO MODA,55.0,32.98,0 1 0
213,Aqua,48.0,,0 1 0
214,Leith,49.0,49.0,0 1 0
215,Fleur du Mal,45.0,45.0,0 1 0
216,Nordstrom Men's Shop,55.0,55.0,1 0 0
217,HalogenR,59.0,35.4,0 1 0
218,Sunski,58.0,58.0,0 1 0
219,gorjana,55.0,,0 1 0
220,Nordstrom Lingerie,49.0,29.4,1 0 0
221,Spiritual Gangster,48.0,48.0,0 1 0
222,Givenchy,62.0,,0 1 0
223,Volcom,55.0,55.0,0 1 0
224,Armani,58.0,43.5,0 1 0
225,Natori,46.0,,0 1 0
226,Topman,55.0,32.98,1 0 0
227,Petite Plume,58.0,,0 1 0
228,Bernie Mev,66.95,66.95,0 1 0
229,adidas,57.0,,0 1 0
230,Champion,55.0,,0 1 0
231,Pendleton,65.0,65.0,0 1 0
232,Vans,65.0,,0 1 0
233,Juliska,58.0,,0 1 0
234,Topshop,52.0,25.98,1 0 0
235,Yamazaki,47.0,,0 1 0
236,Vintage Havana,58.0,,0 1 0
237,gorjana,55.0,55.0,0 1 0
238,Universal Standard,60.0,60.0,0 1 0
239,Lafco,65.0,48.75,0 1 0
240,Reiss,60.0,20.0,0 1 0
241,Kate Spade New York,50.0,,0 1 0
242,Soul by SoulCycle,58.0,58.0,0 1 0
243,Cupio,48.0,36.0,0 1 0
244,Polaroid,60.0,60.0,0 1 0
245,Oribe,48.0,,0 1 0
246,Treasure & Bond,59.0,59.0,0 1 0
247,Onzie,60.0,45.0,0 1 0
248,Juliska,50.0,50.0,0 1 0
249,Dolce & Gabbana,65.0,65.0,0 1 0
250,Shiseido,67.0,67.0,0 1 0
251,Treasure & Bond,49.0,49.0,0 1 0
252,Stella + Ruby,48.0,48.0,0 1 0
253,Bernardaud,46.0,,0 1 0
254,Sole Society,48.0,48.0,0 1 0
255,Supreme,63.0,,0 1 0
256,Nina,58.0,58.0,0 1 0
257,Tommy Bahama,67.0,39.99,0 1 0
258,Topshop,55.0,27.49,1 0 0
259,Dickies,65.0,65.0,0 1 0
260,Leith,49.0,49.0,0 1 0
261,Chiara Ferragni,54.0,54.0,0 1 0
262,City Chic,49.0,49.0,0 1 0
263,adidas,65.0,59.0,0 1 0
264,Palm Angels,65.0,39.0,0 1 0
265,Palm Angels,65.0,65.0,0 1 0
266,Kendra Scott,48.0,48.0,0 1 0
267,Flowers by Zoe,67.0,32.0,0 1 0
268,Zella,59.0,59.0,0 1 0
269,Acqua di Parma,59.0,,0 1 0
270,Guerlain,59.0,,0 1 0
271,VERO MODA,59.0,,0 1 0
272,Jordan,45.0,,0 1 0
273,TOMS,64.95,25.98,0 1 0
274,Sovereign Code,64.0,48.0,0 1 0
275,Champion,50.0,24.99,0 1 0
276,Argento Vivo,58.0,,0 1 0
277,Joe's Jeans,54.0,54.0,0 1 0
278,VERO MODA,59.0,17.63,0 1 0
279,adidas,55.0,,0 1 0
280,Quiksilver Waterman Collection,55.0,55.0,0 1 0
281,Christopher Radko,56.0,,0 1 0
282,Madewell,49.5,39.6,0 1 0
283,Diesel,48.0,48.0,0 1 0
284,Nambe,60.0,,0 1 0
285,Nakamol Design,56.0,56.0,0 1 0
286,Adina's Jewels,62.0,62.0,0 1 0
287,ALLSAINTS,55.0,55.0,0 1 0
288,Mc2 Saint Barth Kids,65.0,65.0,0 1 0
289,Cupio,68.0,,0 1 0
290,Noah NYC,50.0,50.0,0 1 0
291,Jordan,60.0,,0 1 0
292,BP.,49.0,49.0,0 1 0
293,Kris Nations,50.0,50.0,0 1 0
294,Lenox,54.0,,0 1 0
295,Champion,65.0,65.0,0 1 0
296,BP.,59.0,59.0,0 1 0
297,Sole Society,49.95,49.95,0 1 0
298,Boconi,55.0,55.0,0 1 0
299,The Tie Bar,49.5,49.5,0 1 0
300,Wolford,53.0,53.0,0 1 0
301,Bourbon and Boweties,56.0,56.0,0 1 0
302,Alo Yoga,48.0,48.0,0 1 0
303,Onzie,54.0,,0 1 0
304,AFRM,58.0,58.0,0 1 0
305,HalogenR,59.0,35.4,0 1 0
306,Goodlife,68.0,33.98,0 1 0
307,ALLSAINTS,48.0,48.0,0 1 0
308,Matouk,65.0,,0 1 0
309,Marchesa By Lenox,65.0,,0 1 0
310,Rodial,52.0,52.0,0 1 0
311,adidas,64.0,64.0,0 1 0
312,Quiksilver Waterman Collection,65.0,65.0,0 1 0
313,Prosperity Denim,59.0,59.0,0 1 0
314,Topman,45.0,26.98,1 0 0
315,Spanx,50.0,50.0,0 1 0
316,Nike,50.0,,0 1 0
317,Topman,55.0,33.0,1 0 0
318,vuori,58.0,34.8,0 1 0
319,VIETRI,50.0,,0 1 0
320,b.tempt'd by Wacoal,52.0,36.4,0 1 0
321,Palace,65.0,,0 1 0
322,Topman,50.0,30.0,1 0 0
323,MIA,49.95,39.96,0 1 0
324,Topman,45.0,27.0,1 0 0
325,Closed,54.0,54.0,0 1 0
326,Velvet,59.0,,0 1 0
327,Gibson,54.0,54.0,0 1 0
328,Poetic Justice,64.0,64.0,0 1 0
329,Koral,65.0,,0 1 0
330,Topman,65.0,39.0,1 0 0
331,The North Face,63.0,,0 1 0
332,Tommy Jeans,59.5,59.5,0 1 0
333,adidas,67.0,,0 1 0
334,Natori,54.0,,0 1 0
335,Topshop,55.0,55.0,1 0 0
336,Cartier,55.0,,0 1 0
337,Tinsel,49.0,49.0,0 1 0
338,Nashelle,52.0,52.0,0 1 0
339,Valet Studio,52.0,52.0,0 1 0
340,sloggi,46.0,46.0,0 1 0
341,The Men's Store At Bloomingdale's,59.0,,0 1 0
342,Alo Yoga,66.0,,0 1 0
343,New Balance,60.0,60.0,0 1 0
344,Derek Rose,65.0,,0 1 0
345,Villa Home Collection,59.99,59.99,0 1 0
346,Champion,65.0,65.0,0 1 0
347,Tavik,60.0,60.0,0 1 0
348,FILA,60.0,49.99,0 1 0
349,J. Valdi,56.0,35.7,0 1 0
350,Nike,60.0,,0 1 0
351,HalogenR,59.0,59.0,0 1 0
352,Lira Clothing,64.0,38.4,0 1 0
353,Cold Picnic,60.0,60.0,0 1 0
354,Sperry,59.95,23.98,0 1 0
355,Obey,53.0,23.85,0 1 0
356,Ralph Lauren,45.0,,0 1 0
357,Majestic International,65.0,65.0,0 1 0
358,Kendra Scott,58.0,58.0,0 1 0
359,Leith,55.0,55.0,0 1 0
360,PANDORA,65.0,65.0,0 1 0
361,Topman,55.0,55.0,1 0 0
362,BODY VIBES,64.0,64.0,0 1 0
363,Converse,50.0,37.5,0 1 0
364,ANTIK KRAFT,54.0,54.0,0 1 0
365,Michael Stars,58.0,,0 1 0
366,adidas,60.0,60.0,0 1 0
367,VERO MODA,65.0,65.0,0 1 0
368,Billabong,59.95,59.95,0 1 0
369,Simone Perele,55.0,26.0,0 1 0
370,Diesel,48.0,48.0,0 1 0
371,adidas,55.0,55.0,0 1 0
372,Nordstrom Men's Shop,49.5,49.5,1 0 0
373,Michael Kors,60.0,45.0,0 1 0
374,gorjana,45.0,45.0,0 1 0
375,Goodlife,60.0,60.0,0 1 0
376,Ralph Lauren Childrenswear,65.0,,0 1 0
377,Highline Bedding Co.,60.0,39.99,0 1 0
378,Jo Malone London,59.0,59.0,0 1 0
379,Bardot,59.0,59.0,0 1 0
380,Nashelle,61.0,61.0,0 1 0
381,Nike,55.0,,0 1 0
382,Glamglow,65.0,65.0,0 1 0
383,La Perla,65.0,46.0,0 1 0
384,Free People,68.0,40.8,0 1 0
385,Bourbon and Boweties,56.0,56.0,0 1 0
386,Appaman,53.0,,0 1 0
387,Jordan,50.0,,0 1 0
388,Madewell,55.0,55.0,0 1 0
389,O'Neill,65.0,65.0,0 1 0
390,Peter Millar,64.0,,0 1 0
391,Laura Mercier,60.0,51.0,0 1 0
392,VIETRI,46.0,,0 1 0
393,Project Social T,58.0,58.0,0 1 0
394,Whal Myung,48.0,48.0,0 1 0
395,Billabong,59.95,59.95,0 1 0
396,Status By Chenault Plus,68.0,47.6,0 1 0
397,Topshop,48.0,28.8,1 0 0
398,Puma,70.0,,0 1 0
399,Zoe Chicco,70.0,,0 1 0
400,Velveteen,74.0,67.0,0 1 0
401,Leith,75.0,75.0,0 1 0
402,Atelier Cologne,75.0,,0 1 0
403,Bagatelle,79.0,59.25,0 1 0
404,UGG,80.0,80.0,0 1 0
405,Diesel,75.0,75.0,0 1 0
406,English Laundry,69.5,69.5,0 1 0
407,Little Marc Jacobs,75.0,52.0,0 1 0
408,RAGEN Jewels,75.0,75.0,0 1 0
409,Karl Lagerfeld Paris,69.0,,0 1 0
410,Puma,80.0,80.0,0 1 0
411,Paige,79.0,,0 1 0
412,Suboo,79.0,78.0,0 1 0
413,Nike,73.0,,0 1 0
414,Emporio Armani,89.0,84.0,0 1 0
415,Calvin Klein,79.5,,0 1 0
416,THE WHITE COMPANY,69.0,69.0,0 1 0
417,Msgm Kids,78.0,78.0,0 1 0
418,Juliska,68.0,,0 1 0
419,Argento Vivo,78.0,,0 1 0
420,Free People,68.0,68.0,0 1 0
421,Wit & Wisdom,78.0,78.0,0 1 0
422,Kendra Scott,78.0,,0 1 0
423,Nike,69.0,,0 1 0
424,Fatboy,89.0,,0 1 0
425,Versace,70.0,,0 1 0
426,Kimi and Kai,78.0,50.7,0 1 0
427,adidas,85.0,85.0,0 1 0
428,tasc Performance,88.0,43.98,0 1 0
429,BOUND by Bond-Eye,75.0,75.0,0 1 0
430,Collections by joya,88.95,88.95,0 1 0
431,Reiss,85.0,85.0,0 1 0
432,Kate Spade New York,75.0,,0 1 0
433,Michael Kors,84.0,83.0,0 1 0
434,Gottex,68.0,,0 1 0
435,Champion,79.0,75.0,0 1 0
436,Reebok,85.0,85.0,0 1 0
437,Urban Originals,88.0,88.0,0 1 0
438,Highline Bedding Co.,75.0,49.99,0 1 0
439,Alexander McQueen,85.0,85.0,0 1 0
440,Adam Tucker by Me Too,79.95,79.95,0 1 0
441,GOOD HYOUMAN,88.0,88.0,0 1 0
442,Juliska,78.0,,0 1 0
443,Alison Andrews,88.0,,0 1 0
444,Fleur du Mal,78.0,78.0,0 1 0
445,Bzees,68.95,68.95,0 1 0
446,Knotty,76.0,76.0,0 1 0
447,Supreme,80.0,80.0,0 1 0
448,Magformers,69.99,69.99,0 1 0
449,Ralph Lauren,75.0,,0 1 0
450,Maaji,78.0,78.0,0 1 0
451,LNDR,85.0,68.0,0 1 0
452,Aqua,88.0,,0 1 0
453,Kate Spade New York,78.0,78.0,0 1 0
454,Madewell,75.0,75.0,0 1 0
455,RVCA,85.0,85.0,0 1 0
456,Diesel,68.0,68.0,0 1 0
457,Papinelle,79.0,79.0,0 1 0
458,Nununu,69.0,55.0,0 1 0
459,Anna Weatherley,88.0,,0 1 0
460,Christian Louboutin,75.0,75.0,0 1 0
461,CaslonR,69.0,69.0,0 1 0
462,Annieglass,76.0,,0 1 0
463,ANTIK KRAFT,74.0,74.0,0 1 0
464,Michael Kors,88.0,66.0,0 1 0
465,Topshop,75.0,75.0,1 0 0
466,John Varvatos,88.0,,0 1 0
467,evolve,88.95,62.26,0 1 0
468,Tommy Bahama,79.5,,0 1 0
469,HalogenR,69.0,41.4,0 1 0
470,Vince Camuto,89.0,89.0,0 1 0
471,CeCe,74.0,74.0,0 1 0
472,BAPE,82.0,,0 1 0
473,Nike,85.0,85.0,0 1 0
474,Nom Maternity,68.0,40.8,0 1 0
475,Nina,88.95,53.37,0 1 0
476,Maceoo,78.0,46.8,0 1 0
477,Aqua,88.0,,0 1 0
478,French Connection,78.0,54.6,0 1 0
479,Stowaway Collection,85.0,85.0,0 1 0
480,Kendra Scott,85.0,,0 1 0
481,Argento Vivo,88.0,,0 1 0
482,Surya,87.0,65.25,0 1 0
483,Adina's Jewels,72.0,72.0,0 1 0
484,Jordan,70.0,,0 1 0
485,Nike,79.0,79.0,0 1 0
486,Carhartt Work In Progress,68.0,40.8,0 1 0
487,Champion,70.0,54.99,0 1 0
488,Nadri,80.0,56.0,0 1 0
489,Kappa Kontroll,84.0,59.0,0 1 0
490,Vitamin A,86.0,,0 1 0
491,Culinaire,80.0,,0 1 0
492,Josie,78.0,40.95,0 1 0
493,Kate Spade New York,78.0,78.0,0 1 0
494,CALPAK,75.0,63.75,0 1 0
495,BLANKNYC,88.0,88.0,0 1 0
496,Wildfox,88.0,66.0,0 1 0
497,Topshop,75.0,75.0,1 0 0
498,True Religion,79.0,79.0,0 1 0
499,Kate Spade New York,88.0,88.0,0 1 0
500,Topman,70.0,42.0,1 0 0
501,Anne Klein,69.0,69.0,0 1 0
