id,price,sale_price
0,45.0,45.0
1,35.0,35.0
2,22.0,
3,30.0,
4,44.95,44.95
5,40.0,40.0
6,35.0,35.0
7,30.0,30.0
8,20.0,13.98
9,39.95,39.95
10,39.0,39.0
11,30.0,
12,38.0,38.0
13,45.0,
14,26.0,26.0
15,30.0,30.0
16,19.0,11.4
17,36.0,
18,22.0,10.19
19,28.0,28.0
20,44.0,44.0
21,19.0,19.0
22,38.0,
23,29.0,17.4
24,30.0,18.0
25,18.0,18.0
26,32.0,
27,27.0,27.0
28,28.0,28.0
29,30.0,15.0
30,45.0,45.0
31,35.0,35.0
32,45.0,45.0
33,8.0,
34,29.5,29.5
35,23.0,
36,39.95,39.95
37,29.5,29.5
38,12.0,12.0
39,10.0,6.0
40,28.0,28.0
41,24.0,
42,45.0,25.69
43,14.0,12.0
44,39.0,39.0
45,29.0,
46,18.0,18.0
47,36.0,
48,35.0,
49,23.0,
50,39.0,
51,39.0,23.4
52,45.0,45.0
53,29.0,17.4
54,38.0,38.0
55,38.0,
56,45.0,45.0
57,28.0,
58,18.0,18.0
59,38.0,
60,34.0,34.0
61,39.0,39.0
62,35.0,26.25
63,22.0,10.99
64,25.0,25.0
65,45.0,20.25
66,17.0,17.0
67,28.0,
68,19.0,
69,24.0,
70,32.0,32.0
71,35.0,35.0
72,16.0,7.98
73,29.5,
74,21.0,
75,39.95,39.95
76,36.0,36.0
77,36.0,36.0
78,30.0,
79,16.0,
80,15.0,
81,42.0,42.0
82,24.5,24.5
83,14.0,14.0
84,19.0,
85,32.0,32.0
86,25.0,25.0
87,34.0,
88,39.0,23.4
89,26.0,13.0
90,40.0,40.0
91,34.0,23.8
92,15.0,9.75
93,39.0,24.0
94,26.0,
95,35.0,35.0
96,9.99,
97,35.99,35.99
98,18.5,18.5
99,25.0,19.99
100,44.0,
101,20.0,
102,35.0,35.0
103,25.0,25.0
104,38.0,38.0
105,35.0,35.0
106,32.0,19.2
107,35.0,
108,9.5,
109,44.0,44.0
110,27.0,27.0
111,12.5,12.5
112,36.0,36.0
113,45.0,20.25
114,25.0,25.0
115,30.0,22.5
116,10.0,
117,25.0,19.99
118,14.95,
119,29.0,
120,17.0,
121,30.0,
122,33.0,33.0
123,39.0,32.66
124,34.0,34.0
125,39.5,39.5
126,44.0,
127,45.0,45.0
128,35.0,21.0
129,38.0,38.0
130,38.0,27.0
131,40.0,40.0
132,25.0,14.98
133,22.5,18.0
134,30.0,
135,8.0,
136,42.0,
137,35.0,20.98
138,28.0,28.0
139,28.0,29.0
140,44.0,
141,24.0,24.0
142,20.0,
143,44.0,26.4
144,18.0,
145,24.0,18.0
146,42.0,40.0
147,30.0,
148,16.0,
149,28.0,28.0
150,44.5,44.5
151,38.0,28.5
152,45.0,
153,24.0,
154,20.0,16.0
155,16.5,16.5
156,42.0,42.0
157,34.0,34.0
158,24.99,
159,44.0,
160,22.0,
161,32.95,32.95
162,23.0,
163,40.0,40.0
164,42.0,
165,32.0,19.2
166,28.0,
167,6.0,6.0
168,27.0,27.0
169,14.0,
170,30.0,16.49
171,38.0,37.0
172,22.0,22.0
173,24.0,
174,32.0,32.0
175,12.5,12.5
176,29.0,29.0
177,45.0,45.0
178,41.0,41.0
179,10.0,10.0
180,22.0,
181,29.95,29.95
182,29.99,
183,22.0,22.0
184,14.0,
185,28.0,
186,30.0,30.0
187,42.0,42.0
188,18.0,18.0
189,12.0,
190,35.0,35.0
191,38.0,
192,43.0,43.0
193,12.0,
194,32.0,11.2
195,35.0,21.0
196,30.0,9.9
